프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
모바일앱 UI/UX 디자인 및 html/sass 퍼블리싱,"월 금액5,500,000","5,500,000",90일,UI/UX 디자이너,주니어,"['Adobe Photoshop · 경력 무관', 'Figma · 경력 무관', 'Git · 경력 무관', 'HTML · 경력 무관', 'Sass · 경력 무관', 'Sketch · 경력 무관']",서울특별시 중구
여러개의 법무법인 홈페이지 워드프레스 Elementor 사용 재구축 및 관리자 통합,"예상 금액7,000,000원","7,000,000원",40일,,,['WordPress'],서울특별시 강남구
Android 앱 버전 업데이트,"예상 금액500,000원","500,000원",2일,,,['Android'],서울특별시 서초구
장치 간 블루투스 통신 안드로이드 앱 개발,"예상 금액1,500,000원","1,500,000원",3일,,,['Android'],경기도 의왕시
Java  미드 레벨 및 시니어 백엔드 개발자 구인,"월 금액7,000,000","7,000,000",60일,백엔드 개발자,미드 레벨 외 1개,"['Java · 경력 무관', 'Spring Boot · 경력 무관', 'MySQL · 경력 무관', 'RDBMS(Mysql) · 경력 무관', 'Linux · 경력 무관', 'Unix · 경력 무관', 'AWS · 경력 무관', 'OPEN API · 경력 무관', 'jpa · 경력 무관', 'Hibernate · 경력 무관', 'orm · 경력 무관']",경기도 성남시 분당구
"자사몰 Android, iOS 앱 구축","예상 금액20,000,000원","20,000,000원",60일,,,"['Android', 'iOS']",서울특별시 서초구
의류 브랜드 상세페이지 수정 작업,"월 금액3,000,000","3,000,000",60일,그래픽 디자이너,주니어,"['Illustrator · 경력 무관', 'Photoshop · 경력 무관']",서울특별시 동대문구
"민첩성, 순발력 등 측정을 위한 영상 분석 개발","예상 금액5,000,000원","5,000,000원",30일,,,[],경기도 광명시
보험견적 제공 및 자동차 사후관리 서비스 앱 개발,"예상 금액60,000,000원","60,000,000원",120일,,,"['Android', 'AWS', 'iOS', 'Node.js']",서울특별시 영등포구
GPT를 활용한 영양제 추천 설문조사 설계 및 개발,"예상 금액5,000,000원","5,000,000원",10일,,,[],서울특별시 마포구
운영 중인 시스템 내 대리점 수주요청등록 기능 추가 개발,"예상 금액4,000,000원","4,000,000원",30일,,,"['Oracle', 'PHP']",서울특별시 영등포구
은행 실시간 TA(텍스트 분석) 고도화 JAVA 개발,"월 금액7,000,000","7,000,000",90일,개발,웹,"['JavaScript · 경력 무관', 'Java · 경력 무관', 'Oracle · 경력 무관', 'JSP · 경력 무관']",부산광역시 동구
오토바이 라이딩(투어링) 그룹Call/네비게이션/SNS 모바일앱 구축,"예상 금액120,000,000원","120,000,000원",210일,,,[],광주광역시 서구
온라인 검사 시스템 구축,"예상 금액20,000,000원","20,000,000원",60일,,,['OCR'],서울특별시 금천구
UWB 기반 스트레스 관리를 통한 웰니스 포털 시스템 구축,"예상 금액140,000,000원","140,000,000원",180일,,,"['Android', 'iOS']",서울특별시 성동구
엑셀 Template Interface를 통한 저장 및 수정/저장/공유 iOS 개발,"예상 금액15,000,000원","15,000,000원",60일,,,['iOS'],서울특별시 금천구
삼성전자 FortiSOAR 보안관제 시스템 운영(SM),"월 금액7,000,000","7,000,000",395일,개발,웹 외 1개,['Python · 경력 무관'],경기도 화성시
Nest.js 기반 골프매장관리 유지보수 및 고도화 API 개발,"월 금액6,500,000","6,500,000",180일,개발,웹,['Nestjs · 경력 무관'],경기도 성남시 분당구
Android 앱 알림 문제 해결,"예상 금액500,000원","500,000원",2일,,,['Android'],경기도 의정부시
Node.js 기반 백엔드/서버 개발(재택근무),"월 금액6,000,000","6,000,000",90일,백엔드 개발자,시니어,"['PHP · 경력 무관', 'Node.js · 경력 무관']",서울특별시 강남구
운영 중인 블로그의 진단 프로그램 개발,"예상 금액3,000,000원","3,000,000원",10일,,,['PHP'],부산광역시 부산진구
피부관리실 예약시스템 기획,"월 금액5,000,000","5,000,000",30일,UI/UX 기획자,미드 레벨,['Figma · 경력 무관'],경기도 성남시 분당구
온라인몰 개선 고도화 Interface 개발,"월 금액7,300,000","7,300,000",75일,백엔드 개발자,시니어,"['Java · 경력 무관', 'Spring · 경력 무관', 'Spring Boot · 경력 무관', 'Oracle · 경력 무관']",서울특별시 종로구
AWS 인프라 및 백엔드 개발,"예상 금액2,500,000원","2,500,000원",14일,,,"['AWS EC2', 'AWS S3', 'Django', 'fastapi', 'Flask', 'Kubernetes', 'MySQL', 'Redis', 'SQLite']",서울특별시 강남구
카페24 튜닝개발,"예상 금액45,000,000원","45,000,000원",90일,,,"['Cafe24', 'PHP']",서울특별시 강남구
해외 반응형 공모전 사이트 디자인/개발,"예상 금액8,000,000원","8,000,000원",40일,,,"['AWS', 'Java']",서울특별시 마포구
운영 중인 방화벽 제품 UI 이미지 및 색상 등 개선,"예상 금액2,000,000원","2,000,000원",10일,,,[],서울특별시 강동구
앱 사용 데이터를 수집하는 앱의 수정 개발,"예상 금액2,000,000원","2,000,000원",10일,,,['플러터'],서울특별시 강남구
PHP 웹 영어/한국어 변환 기능 개발,"예상 금액4,000,000원","4,000,000원",30일,,,"['CSS', 'HTML', 'JavaScript', 'PHP']",서울특별시 노원구
건물 시설관리용 FMS 솔루션 구축,"예상 금액500,000,000원","500,000,000원",300일,,,[],서울특별시 송파구
"창업 관련 서비스 반응형 웹 디자인, 개발","예상 금액15,000,000원","15,000,000원",45일,,,['AWS'],서울특별시 종로구
flutter 기반 캘린더 앱 프런트엔드 개발,"예상 금액3,000,000원","3,000,000원",14일,,,['Flutter'],서울특별시 강남구
해외 환자 국내 의료관광 유치 플랫폼 웹 개발,"예상 금액15,000,000원","15,000,000원",28일,,,"['AWS', 'Django', 'Python']",서울특별시 강남구
React 기반 금융권 내부시스템 FO 고급 개발자 구인,"월 금액8,000,000","8,000,000",60일,개발,웹,['React · 경력 무관'],서울특별시 마포구
자격증 문제풀이 앱/ 웹 관리 도구 구축,"예상 금액40,000,000원","40,000,000원",80일,,,"['Java', 'MariaDB', 'Nginx', 'Spring Boot']",서울특별시 관악구
자동차 직거래 플랫폼 서비스 백엔드 개발,"월 금액6,500,000","6,500,000",90일,개발,웹,"['Java · 경력 무관', 'MySQL · 경력 무관', 'Figma · 경력 무관', 'GitHub · 경력 무관', 'jira · 경력 무관', 'Gradle · 경력 무관', 'confluence · 경력 무관', 'jwt · 경력 무관', 'querydsl · 경력 무관', 'IDE · 경력 무관']",서울특별시 마포구
3D 데이터(Dental) 편집용 Library 개발,"예상 금액18,000,000원","18,000,000원",70일,,,"['C++', 'VisualStudio']",서울특별시 강남구
"웹 기반 전자결재 시스템 기획, 디자인","예상 금액2,000,000원","2,000,000원",14일,,,[],경기도 안산시 상록구
웹기획자(PM급) 채용,"월 금액6,000,000","6,000,000",180일,PM (프로덕트 매니저),디렉터,"['Word · 5년 이상', 'GoogleAnalytics · 5년 이상', 'PowerPoint · 5년 이상', 'Excel · 5년 이상', 'jira · 5년 이상', 'XD · 5년 이상']",서울특별시 마포구
PDF 색상 체크 및 변환 기능 웹 개발,"예상 금액1,500,000원","1,500,000원",7일,,,"['Node.js', 'React']",서울특별시 금천구
Figma 미드 레벨 UI/UX 디자이너 신규 구인,"월 금액5,000,000","5,000,000",30일,UI/UX 디자이너,미드 레벨,['Figma · 3년 이상'],서울특별시 강남구
내시경 진단보조 MVP SW 수정 개발,"예상 금액6,000,000원","6,000,000원",30일,,,"['Linux', 'PyTorch', 'Rust']",서울특별시 서초구
대리운전 고객용 모바일웹과 접수 프로그램 연동 구축,"예상 금액15,000,000원","15,000,000원",60일,,,[],경기도 김포시
LG CNS 2023년 Azure AD 구축/설계/운영,"월 금액7,000,000","7,000,000",180일,풀스택 개발자,시니어,"['M365 · 경력 무관', 'intune · 경력 무관']",서울특별시 마포구
React 기반 리걸테크 서비스 웹 프런트엔드 개발,"예상 금액20,000,000원","20,000,000원",90일,,,['React'],서울특별시 강남구
Unity 기반 쉐이더 수정 개발,"예상 금액2,000,000원","2,000,000원",10일,,,"['C#', 'HLSL']",경기도 고양시 일산동구
음식물 감량기 PLC SW 개발,"월 금액7,500,000","7,500,000",60일,개발,레벨 미선택,"['XG5000 · 경력 무관', 'XGI · 경력 무관']",울산광역시 울주군
피트니스 버티컬 서비스 내 커머스 및 성장 시스템 구축,"예상 금액60,000,000원","60,000,000원",90일,,,"['Android', 'AWS', 'iOS', 'Nestjs', 'next.js', 'Node.js', 'React Native']",경기도 성남시 분당구
컨베이어형 영상화부 장비 기구 설계,"예상 금액10,000,000원","10,000,000원",30일,,,[],경기도 광명시
"사용자 등록용 Android, iOS 앱 개발","예상 금액4,000,000원","4,000,000원",30일,,,"['Android', 'iOS']",경기도 성남시 수정구
솔루션 기반 폐쇄형 커머스 반응형 웹 구축,"예상 금액10,000,000원","10,000,000원",30일,,,[],서울특별시 금천구
AI와 관련된 API를 활용한 웹 서비스 개발,"예상 금액30,000,000원","30,000,000원",60일,,,"['node', 'React']",서울특별시 금천구
수기로 진행중인 업무를 자동화하는 프로그램 개발,"예상 금액9,000,000원","9,000,000원",40일,,,[],대전광역시 유성구
웹툰플랫폼(앱/웹) 프런트엔드 개발자 추가 증원(주 3일 재택 가능),"월 금액4,200,000","4,200,000",60일,프론트엔드 개발자,미드 레벨,"['JavaScript · 경력 무관', 'React Native · 경력 무관']",서울특별시 마포구
좋아요 수 수집기능 개발,"예상 금액500,000원","500,000원",2일,,,['C++'],서울특별시 성동구
데이터 분석 및 매크로 사용 확인,"예상 금액5,000,000원","5,000,000원",1일,,,[],서울특별시 성동구
회귀분석모델과 LLM을 활용한 마케팅 분석 툴 MVP 개발,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 성동구
요식업 브랜드 일본 홈페이지 구축,"예상 금액5,000,000원","5,000,000원",20일,,,[],서울특별시 강남구
개인 맞춤 영양제 추천 알고리즘 설계 및 개발,"예상 금액5,000,000원","5,000,000원",15일,,,[],서울특별시 마포구
미용재료 커뮤니티 커머스(폐쇄몰) 개발,"예상 금액60,000,000원","60,000,000원",90일,,,[],서울특별시 송파구
캠페인 관련 원페이지 웹 사이트 개발,"예상 금액500,000원","500,000원",2일,,,[],서울특별시 강남구
나온소프트 사 그룹웨어 이슈 관리 추가 개발,"예상 금액8,000,000원","8,000,000원",40일,,,"['Apache', 'Java', 'linux rocky', 'MariaDB', 'MyBatis', 'Spring', 'Tomcat']",경기도 군포시
기존 소스코드를 활용한 역직구 서비스 구축,"예상 금액15,000,000원","15,000,000원",30일,,,"['Java', 'jQuery', 'JSP', 'Spring Boot']",경기도 고양시 덕양구
도서 및 온라인 콘텐츠 판매사이트 개발,"예상 금액100,000,000원","100,000,000원",30일,,,[],서울특별시 강남구
산업용 이더넷 통신 카드 회로 설계,"예상 금액8,000,000원","8,000,000원",28일,,,[],대전광역시 유성구
반자동화 랩핑기의 PLC 프로그램 수정으로 자동화 개발,"예상 금액2,000,000원","2,000,000원",7일,,,[],경기도 광명시
영어 도서 구매 고객을 위한 영상/음원 제공 AOS/iOS 앱 개발,"예상 금액40,000,000원","40,000,000원",90일,,,"['Android', 'iOS', 'React Native']",서울특별시 강남구
Vue.js 신규 프로젝트 개발,"월 금액6,000,000","6,000,000",150일,개발,웹,['Vue.js · 경력 무관'],서울특별시 강남구
LTE 라우터를 이용한 LS산전 PLC 원격 접속,"예상 금액3,000,000원","3,000,000원",21일,,,['plc'],서울특별시 금천구
기존 관리자 페이지 React로 퍼블리싱,"예상 금액5,000,000원","5,000,000원",10일,,,['React'],서울특별시 성동구
K팝 플러터 앱 내 노래 가사 영상 편집 기능 개발,"예상 금액4,000,000원","4,000,000원",21일,,,"['FFmpeg', 'Flutter']",서울특별시 서초구
공공WIFI 서비스용 LTE/5G 라우터 SW OpenWRT 기반 개발,"월 금액6,000,000","6,000,000",90일,백엔드 개발자,미드 레벨,"['Linux · 경력 무관', 'OPENWRT · 5년 이하', 'C# · 경력 무관']",서울특별시 구로구
"카페24 기반 렌즈 구매 및 매장 픽업 서비스 기획, 개발","예상 금액25,000,000원","25,000,000원",60일,,,[],서울특별시 강남구
기존 서비스를 flutter 로 전환 프런트엔드 개발,"월 금액8,000,000","8,000,000",45일,프론트엔드 개발자,시니어,['Flutter · 3~5년'],서울특별시 서초구
법원 경매 매물 크롤링 후 DB 저장,"예상 금액4,500,000원","4,500,000원",14일,,,"['Linux', 'PostgreSQL']",서울특별시 영등포구
코인 거래소 웹 및 앱 구축,"예상 금액200,000,000원","200,000,000원",180일,,,"['Android', 'iOS']",서울특별시 영등포구
콘텐츠 구독 플랫폼 웹 개발(상주 선호),"예상 금액27,000,000원","27,000,000원",60일,,,[],경기도 성남시 분당구
"외부 API를 연동한 Android, iOS 앱 개발","예상 금액7,000,000원","7,000,000원",30일,,,"['Android', 'iOS']",인천광역시 부평구
태양광 인버터 70개까지 연결 가능한 RTU 개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['keil uVision', 'STM32']",강원도 원주시
렌터카 홈페이지 퍼블리싱 및 프런트엔드 개발,"예상 금액7,000,000원","7,000,000원",60일,,,"['CSS', 'HTML', 'JavaScript', 'jQuery', 'PHP', 'restful api']",제주특별자치도 제주시
데이터 바인딩/로직 제외한 UI 플러터 개발(퍼블리싱),"예상 금액10,000,000원","10,000,000원",45일,,,['Flutter'],서울특별시 성동구
심전도 데이터 분석을 의뢰하는 병원/판독업체 간 웹 시스템 구축,"예상 금액25,000,000원","25,000,000원",90일,,,[],경기도 성남시 분당구
인캐빈어드벤처 XR프로젝트 유지보수,"월 금액5,000,000","5,000,000",90일,개발,레벨 미선택,"['JavaScript · 경력 무관', 'Kotlin · 경력 무관', 'Unity · 경력 무관', 'OpenCV · 경력 무관']",경기도 성남시 분당구
"B2C 피아노 플랫폼 PC 웹 및 Android, iOS 앱 개발","예상 금액40,000,000원","40,000,000원",100일,,,"['Android', 'iOS']",서울특별시 금천구
상담 플랫폼 웹 및 앱 구축,"예상 금액40,000,000원","40,000,000원",90일,,,"['Android', 'iOS']",서울특별시 강남구
"Android, iOS 모바일 앱 운영/유지보수","월 금액5,500,000","5,500,000",365일,개발,레벨 미선택,"['Java · 경력 무관', 'Android · 경력 무관', 'iOS · 경력 무관', 'Oracle · 경력 무관', 'objective C · 경력 무관']",서울특별시 중구
문자 대량 발송 서비스 구축,"예상 금액15,000,000원","15,000,000원",45일,,,[],부산광역시 북구
병원 데이터 프로젝트 기 구축 내용 고도화 및 보완/검증 개발,"월 금액6,500,000","6,500,000",60일,백엔드 개발자,미드 레벨,['SQL · 경력 무관'],경기도 고양시 일산동구
Saleor(세일러) 를 활용하여 쇼핑몰을 개발,"예상 금액15,000,000원","15,000,000원",40일,,,"['Django', 'PostgreSQL', 'Python', 'React', 'saleor', 'TailwindCSS']",서울특별시 구로구
금융권 블록체인 기반 신규 플랫폼 네이티브 iOS Swift 개발,"월 금액7,000,000","7,000,000",150일,iOS 개발자,시니어,"['iOS · 5년 이상', 'Swift · 5년 이상']",부산광역시 부산진구
인사 관리 프로그램 퍼블리싱,"월 금액4,000,000","4,000,000",180일,퍼블리셔,미드 레벨,"['JavaScript · 3년 이상', 'HTML · 3년 이상', 'CSS · 3년 이상']",서울특별시 영등포구
숙박플랫폼 호스트용 프론트 React/typescript 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['Figma', 'React', 'Swagger', 'Typescrpit']",대전광역시 유성구
React 기반 서비스 내 결제 시스템 퍼블리싱 및 프런트 개발,"예상 금액5,000,000원","5,000,000원",21일,,,['React'],서울특별시 강남구
DS 원가 부문 고도화 ABAP 개발,"월 금액10,000,000","10,000,000",360일,풀스택 개발자,미드 레벨,"['SAP · 경력 무관', 'ABAP · 경력 무관']",경기도 용인시 기흥구
DS 원가 부문 고도화 CO 컨설턴트,"월 금액13,000,000","13,000,000",360일,풀스택 개발자,시니어,['SAP · 경력 무관'],경기도 용인시 기흥구
대기업 문서 관리 솔루션 개발,"월 금액7,000,000","7,000,000",180일,풀스택 개발자,미드 레벨 외 1개,"['C# · 경력 무관', 'C++ · 경력 무관', 'C# · 경력 무관']",서울특별시 송파구
"더 핏럽 백엔드, Android, iOS 개발","월 금액5,000,000","5,000,000",120일,개발,기타,"['JavaScript · 경력 무관', 'Android · 경력 무관', 'iOS · 경력 무관']",서울특별시 성북구
해외 주류 직구 버티컬 커머스(모바일 웹) 화면 기획,"예상 금액6,000,000원","6,000,000원",30일,,,[],서울특별시 양천구
React 기반 소상공인 광고 리워드 웹 서비스 개발,"월 금액6,000,000","6,000,000",60일,개발,웹,['React · 경력 무관'],서울특별시 강남구
임베디드로 구동되는 QML 어플리케이션 개발,"예상 금액10,000,000원","10,000,000원",45일,,,['qml'],경기도 수원시 팔달구
React/Django(DRF)/Django ORM/MySQL 기반 Admin 개발,"예상 금액30,000,000원","30,000,000원",50일,,,"['antd', 'antd', 'Django ORM', 'Django REST Framework', 'MySQL', 'react.js']",서울특별시 서초구
Dental customized design 프로그램 개발,"예상 금액8,000,000원","8,000,000원",60일,,,"['babylon.js', 'HTML', 'MongoDB', 'Nginx', 'Node.js', 'Vue.js']",해외 해외
주식 실시간 종목 시세 정보 windows 위젯 C# 개발,"예상 금액1,500,000원","1,500,000원",7일,,,"['C#', 'Windows']",서울특별시 관악구
SAP ERP의 OZ Report 개발,"월 금액6,500,000","6,500,000",120일,개발,레벨 미선택,[],서울특별시 강서구
브랜드 홍보 및 상품 판매 반응형 웹 구축,"예상 금액10,000,000원","10,000,000원",30일,,,[],울산광역시 동구
"React, Express.js 기반 LMS 서비스의 백엔드 개발","월 금액5,000,000","5,000,000",90일,백엔드 개발자,미드 레벨,"['Express · 경력 무관', 'Node.js · 경력 무관']",
동영상 플레이어 컴포넌트 개발 및 신규 기능 React 개발,"월 금액5,000,000","5,000,000",90일,프론트엔드 개발자,미드 레벨,['react.js · 3년 이상'],
동영상 플랫폼 React 프론트 개발자(재택근무),"월 금액5,000,000","5,000,000",90일,프론트엔드 개발자,미드 레벨,"['react.js · 3~7년', 'next.js · 3~7년']",
GR740 Processer 보드에 Boot/BSP 및 RTEMS 6.1 포팅,"예상 금액50,000,000원","50,000,000원",90일,,,[],서울특별시 금천구
경력직 앱 기획/Product Manager,"월 금액6,000,000","6,000,000",60일,PM (프로덕트 매니저),미드 레벨,"['피그마 · 1년 이상', '앱기획 · 3년 이상', '플로우차트작성 · 2년 이상']",서울특별시 강남구
앱서비스 UI/UX 디자이너 상주가능한 분 모집,"월 금액5,500,000","5,500,000",60일,UI/UX 디자이너,미드 레벨,['피그마 · 2년 이상'],서울특별시 강남구
경품 기프티콘 발송 프로세스 구축,"예상 금액6,000,000원","6,000,000원",30일,,,[],서울특별시 영등포구
업무시스템 React 프런트엔드 마무리 개발,"예상 금액4,000,000원","4,000,000원",30일,,,['React'],경기도 화성시
홍보용 회사 홈페이지 퍼블리싱 및 개발,"예상 금액2,000,000원","2,000,000원",15일,,,"['CSS', 'HTML', 'JavaScript']",서울특별시 용산구
기존 SNS 소스를 활용한 영어 교육용 SNS 개발,"예상 금액20,000,000원","20,000,000원",80일,,,"['AWS', 'Java', 'MySQL', 'React Native', 'spring framework']",서울특별시 용산구
커뮤니티 반응형 웹 구축,"예상 금액40,000,000원","40,000,000원",90일,,,[],서울특별시 종로구
라이브2D 활용 이미지에 애니메이션 구현 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['live2d'],서울특별시 강남구
쇼핑 견적 플랫폼 백엔드API 개발 및 React Native 앱과 연동 후 서비스 완성,"예상 금액15,000,000원","15,000,000원",40일,,,"['jpa', 'MobX', 'MyBatis', 'MySQL', 'React Native', 'Spring Boot', 'Swagger', 'TypeScript']",서울특별시 영등포구
Android 앱 API 버전 업그레이드 및 재배포,"예상 금액1,000,000원","1,000,000원",4일,,,['Android'],서울특별시 성북구
웹 플랫폼 반응형 퍼블리싱,"예상 금액3,000,000원","3,000,000원",20일,,,"['CSS', 'HTML', 'JavaScript', 'jQuery']",서울특별시 강남구
폐쇄망에서 구동되는 WEB 기반 컨텐츠 서비스 개발,"예상 금액10,000,000원","10,000,000원",21일,,,"['CSS', 'HTML', 'Linux', 'MySQL', 'React', 'Spring Boot']",서울특별시 강남구
4대보혐신고/원천신고 자동화를 위한 기술 컨설팅,"예상 금액2,000,000원","2,000,000원",14일,,,[],서울특별시 서초구
공공기관 홈페이지 기능 추가 개발(주 1~2일 상주 근무),"월 금액7,000,000","7,000,000",30일,개발,웹,"['Java · 경력 무관', '전자정부프레임워크 · 경력 무관']",서울특별시 마포구
키보드 H/W 및 F/W 개발,"예상 금액7,000,000원","7,000,000원",30일,,,[],서울특별시 강남구
PHP 라라벨 프레임워크 API을 Spring Boot API로 전환,"월 금액8,000,000","8,000,000",30일,백엔드 개발자,미드 레벨 외 1개,['Spring Boot · 경력 무관'],서울특별시 강남구
웹ERP 로그인/메인/업무 화면 및 기능 3종 샘플 개발,"예상 금액2,500,000원","2,500,000원",30일,,,[],대구광역시 달서구
Tibero 기반 공공기관 DB 운영/유지보수,"월 금액4,000,000","4,000,000",120일,개발,웹,"['SQL · 경력 무관', 'Tibero · 경력 무관']",서울특별시 종로구
현장 테블릿용 Web 화면 개발 및 위치 관리 개발,"월 금액5,000,000","5,000,000",90일,풀스택 개발자,미드 레벨,"['Java · 경력 무관', 'Spring · 경력 무관', 'Android · 경력 무관']",제주특별자치도 제주시
광고 플랫폼 CMS 상세 기획,"월 금액4,500,000","4,500,000",60일,기획,웹,['Figma · 경력 무관'],서울특별시 강남구
카페24 API를 활용한 썸네일 변경 프로그램 개발,"예상 금액3,000,000원","3,000,000원",7일,,,[],서울특별시 성북구
쇼핑몰(멤버십) UI 설계 기획,"월 금액6,500,000","6,500,000",330일,기획,레벨 미선택,['PowerPoint · 경력 무관'],서울특별시 강남구
모바일 앱 관련 컨설팅,"예상 금액300,000원","300,000원",1일,,,[],서울특별시 강남구
Kotlin 기반 CO2Network Android 앱 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['Android', 'API연동', 'aws lambda', 'Jetpack Compose', 'Kotlin']",서울특별시 구로구
회사 소개 웹 사이트 구축,"예상 금액1,700,000원","1,700,000원",15일,,,[],서울특별시 강남구
SPLUNK 대시보드 개발,"월 금액5,000,000","5,000,000",15일,프론트엔드 개발자,미드 레벨,"['Spring · 2년 이상', 'Java · 2년 이상', 'Splunk · 2년 이상']",경기도 성남시 수정구
제공되는 소스 활용 비전 카메라 이미지 취득 프로그램 기능 추가,"예상 금액1,300,000원","1,300,000원",5일,,,"['C++', 'MFC']",인천광역시 연수구
네이버 커머스 연동을 위한 PHP 모듈 개발,"예상 금액800,000원","800,000원",3일,,,"['JSON', 'PHP']",인천광역시 계양구
고객의 공동인증서 등록 후 관리자가 로그인 시 사용할 수 있는 시스템 구축,"예상 금액15,000,000원","15,000,000원",15일,,,[],서울특별시 금천구
부동산 관련 플랫폼 반응형 웹 구축,"예상 금액15,000,000원","15,000,000원",60일,,,[],울산광역시 남구
상담 접수 및 관리자 페이지 퍼블리싱,"예상 금액2,300,000원","2,300,000원",15일,,,[],서울특별시 마포구
자격증 문제풀이 서비스 유지보수 및 기능 개선,"예상 금액9,000,000원","9,000,000원",45일,,,"['Android', 'CentOS', 'Docker', 'Hibernate', 'iOS', 'Java', 'Java Spring', 'Linux', 'mariadb', 'MariaDB', 'restful api', 'Swift', 'Tomcat']",세종특별자치시 세종시
사진 촬영된 사진을 캐리커쳐로 변환 기능 구현,"예상 금액4,000,000원","4,000,000원",14일,,,[],경기도 구리시
Flutter/React/Node 기반 앱서비스 유지보수(연단위),"예상 금액108,000,000원","108,000,000원",365일,,,"['Firebase', 'Flutter', 'GitHub', 'MongoDB', 'Node.js', 'React']",경기도 성남시 분당구
이베이 광고 입찰 시스템 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],부산광역시 부산진구
"건설 현장의 물류 관리용 Android, iOS 프로토타입 앱 개발","예상 금액5,000,000원","5,000,000원",30일,,,"['Android', 'iOS']",서울특별시 마포구
반도체 제어프로그램 GUI 디자인,"예상 금액5,000,000원","5,000,000원",30일,,,[],경기도 화성시
솔루션 형태의 웹 애플리케이션 UI/UX 개선 컨설팅,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 강서구
RnD 사업의 과제 별 성과 통계 확인/관리 시스템,"예상 금액12,000,000원","12,000,000원",50일,,,[],인천광역시 미추홀구
해외 선물 자동매매 프로그램 개발,"예상 금액3,000,000원","3,000,000원",21일,,,[],서울특별시 관악구
공정거래자율준수 홈페이지 신규 구축,"예상 금액10,000,000원","10,000,000원",30일,,,['Java'],서울특별시 금천구
보안모듈 적용을 위한 Python/flask/k8s 개발,"월 금액6,000,000","6,000,000",90일,개발,웹,"['Python · 경력 무관', 'Flask · 경력 무관', 'Kubernetes · 경력 무관']",서울특별시 강남구
퀄리티 높은 홈페이지의 웹 기획자 모집,"월 금액5,000,000","5,000,000",30일,기획,웹,['Figma · 경력 무관'],서울특별시 강남구
부동산 매물 중개 반응형웹 및 하이브리드앱 개발,"예상 금액30,000,000원","30,000,000원",60일,,,[],경기도 화성시
토양 수분 측정 시제품 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['PCB', '회로설계']",경기도 성남시 분당구
통합플랫폼 유지보수 ITO 사업 JAVA 개발,"월 금액8,000,000","8,000,000",365일,개발,웹,['Java · 경력 무관'],서울특별시 광진구
도착지 근처에 근접하면 알림을 울려주는 안드로이드 앱,"예상 금액900,000원","900,000원",3일,,,['Android'],서울특별시 동작구
무인 보관함 서비스 Web 및 모바일앱 리뉴얼 구축,"예상 금액25,000,000원","25,000,000원",80일,,,[],서울특별시 강남구
AI 프로젝트 컨설팅(반상주 근무),"월 금액7,000,000","7,000,000",30일,개발,웹,"['Python · 경력 무관', 'TensorFlow · 경력 무관', 'PyTorch · 경력 무관']",경기도 성남시 중원구
주문/판매/클레임 관리 시스템 구축,"예상 금액120,000,000원","120,000,000원",240일,,,[],해외 해외
모션 캡쳐 기반의 버튜버 앱 구축,"예상 금액100,000,000원","100,000,000원",180일,,,"['Android', 'iOS']",서울특별시 강남구
헬스케어 서비스 Node(Nest.js) 백엔드 개발,"월 금액7,000,000","7,000,000",60일,개발,웹,"['typeorm · 경력 무관', 'mariadb · 경력 무관']",경기도 성남시 수정구
기 구축된 시스템에 고객사 UI/UX 표준 적용하기 위한 디자인/퍼블리싱,"예상 금액9,000,000원","9,000,000원",60일,,,[],충청북도 청주시 서원구
Window 앱 UI 업그레이드 개발( 재택 근무 가능 ),"월 금액5,000,000","5,000,000",60일,개발,레벨 미선택,['WPF · 경력 무관'],서울특별시 금천구
K-apt 입찰 정보 크롤링 및 DB화,"예상 금액1,000,000원","1,000,000원",5일,,,[],인천광역시 서구
제품 사양서 디자인,"예상 금액300,000원","300,000원",2일,,,[],경기도 안양시 동안구
회사 소개 홈페이지 구축,"예상 금액1,000,000원","1,000,000원",7일,,,[],서울특별시 서초구
해외선물 호가창 그리드 및 기능을 Javascript로 구축,"예상 금액4,000,000원","4,000,000원",30일,,,"['JavaScript', 'Vue']",서울특별시 영등포구
FrontEnd(React) 개발 업무(재택 근무),"월 금액4,000,000","4,000,000",90일,개발,웹,"['JavaScript · 경력 무관', 'CSS · 경력 무관', 'HTML · 경력 무관', 'React · 경력 무관', 'TypeScript · 경력 무관', 'npm · 경력 무관']",서울특별시 금천구
프랜차이즈 플랫폼 웹 서비스 고도화 구축,"예상 금액50,000,000원","50,000,000원",120일,,,"['Java', 'mariadb', 'MariaDB', 'React']",서울특별시 강서구
BLE 연동 반려동물체중계앱 관리자페이지 추가 및 앱 추가 개발 작업,"예상 금액7,000,000원","7,000,000원",30일,,,[],광주광역시 북구
기존 소스 수정을 통한 V2G 완속충전기 원격 F/W 업데이트 기능 추가,"예상 금액7,000,000원","7,000,000원",45일,,,"['C++', 'TMS320F28062']",경기도 용인시 기흥구
