프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
세움터 건축인허가 데이터 DB 수집 및 가공 프로그램 개발,"예상 금액1,500,000원","1,500,000원",7일,,,[],부산광역시 강서구
작명어플의 mysql 프로세스 최적화 및 기능 추가,"예상 금액10,000,000원","10,000,000원",40일,,,"['Angular', 'AWS', 'Ionic', 'PHP']",서울특별시 서초구
회사(어플 소개) 홈페이지 구축,"예상 금액2,500,000원","2,500,000원",21일,,,[],서울특별시 강남구
관리자 페이지에 개인정보 접속이력 확인 기능 추가 개발,"예상 금액2,000,000원","2,000,000원",5일,,,['MSSQL'],서울특별시 성동구
이커머스 마이크로사이트 PC/MO 퍼블리싱,"예상 금액1,000,000원","1,000,000원",7일,,,"['CSS', 'HTML', 'JavaScript']",서울특별시 강남구
요양원 및 재가 복지센터 내부 운영 프로그램 개발,"예상 금액150,000,000원","150,000,000원",180일,,,"['Android', 'iOS']",경기도 부천시 원미구
PC/모바일 신규 사이트 및 관리자 기획/PL,"월 금액6,500,000","6,500,000",30일,기획,웹,"['PowerPoint · 경력 무관', 'Excel · 경력 무관']",서울특별시 강남구
법인세 세무조정 프로그램 웹 Frontend 개발,"월 금액6,000,000","6,000,000",90일,개발,웹,['PHP · 경력 무관'],서울특별시 영등포구
보험사 영업관리 시스템 운영/유지보수,"월 금액7,000,000","7,000,000",300일,개발,웹,"['Java · 경력 무관', 'JSP · 경력 무관', 'Nexacro · 경력 무관']",서울특별시 중구
기존 웹서비스 서버세팅 및 유지보수,"예상 금액800,000원","800,000원",3일,,,[],경기도 성남시 분당구
"PC 및 Mobile 교육 서비스 요구사항 정의, UI 기획, 스토리보드 작성","월 금액6,000,000","6,000,000",120일,기획,웹,[],서울특별시 강남구
CVAT 기능 추가 개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['Python', 'React', 'TypeScript']",서울특별시 서초구
인공지능 서비스를 활용한 교육플랫폼 구축,"예상 금액90,000,000원","90,000,000원",120일,,,"['Django', 'Node.js', 'React']",서울특별시 서초구
의료장비 생체데이터 연동 Android 앱 개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['Android', 'Java', 'MSSQL']",경기도 안산시 상록구
현대엘리베이터 SCRM 운영(SM),"월 금액7,800,000","7,800,000",270일,개발,웹,['Java · 경력 무관'],충청북도 충주시
병원 검진 예약시스템 리뉴얼 프로젝트 총괄(PM),"월 금액10,000,000","10,000,000",365일,개발 · 디자인 · 기획,웹 외 1개,"['Java · 경력 무관', 'JSP · 경력 무관']",대전광역시 중구
병원 검진 예약시스템 DB 재구축 DA,"월 금액10,000,000","10,000,000",120일,개발,웹 외 1개,"['Oracle · 경력 무관', 'db설계 · 경력 무관', 'DBA · 경력 무관', 'procedure · 경력 무관', 'migration · 경력 무관', 'rac구성 · 경력 무관']",대전광역시 중구
"백화점 예약 시스템 인터페이스( 프로시져, API ) 개발","월 금액7,000,000","7,000,000",60일,개발,웹,"['Java · 경력 무관', 'WebSquare · 경력 무관']",서울특별시 중구
"vue.js, nuxt.js 기반 웹사이트 프론트개발 운영/유지","월 금액6,500,000","6,500,000",180일,개발,웹,[],서울특별시 영등포구
Unreal engine5 기반 메타버스 프로젝트 클라이언트 개발,"월 금액6,000,000","6,000,000",180일,개발,레벨 미선택,['blueprint · 경력 무관'],서울특별시 강남구
공간정보 3차원 지도 플랫폼 구축,"예상 금액50,000,000원","50,000,000원",90일,,,[],경기도 고양시 덕양구
기존 상담 시스템 분석 및 기능 개선,"예상 금액10,000,000원","10,000,000원",30일,,,"['Bootstrap', 'MSSQL', 'Windows']",서울특별시 동작구
워드프레스 사이트 분석 및 개선 개발,"예상 금액1,500,000원","1,500,000원",7일,,,['WordPress'],서울특별시 강남구
가속도 측정 안드로이드 앱 개발,"예상 금액30,000,000원","30,000,000원",100일,,,[],충청북도 충주시
윈도우-모바일 연동 알람 모바일앱 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['Android', 'iOS']",서울특별시 금천구
글로벌 이커머스 앱 클라이언트 개발,"월 금액7,500,000","7,500,000",180일,개발,레벨 미선택,[],서울특별시 강남구
인력공급업 웹 ERP 시스템 개편 요구사항 분석 및 기획(상주 필요),"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 중구
라이브 픽스타 스포츠 플랫폼 웹 및 앱 UI/UX 기획 및 디자인,"예상 금액15,000,000원","15,000,000원",60일,,,[],서울특별시 강남구
.Net 기반 ERP 유지보수 및 개발 (주 4일 근무),"월 금액4,000,000","4,000,000",180일,개발,레벨 미선택,['MSSQL · 경력 무관'],경기도 김포시
삼성디스플레이 기흥 JAVA/스프링부트 프론트 혹은 백엔드 개발,"월 금액5,500,000","5,500,000",210일,개발,웹,"['Java · 경력 무관', 'jQuery · 경력 무관', 'JSP · 경력 무관']",경기도 용인시 기흥구
메타버스 Unity3D 개발,"월 금액6,500,000","6,500,000",180일,개발,레벨 미선택,['unity3d · 경력 무관'],서울특별시 서초구
통합EMS(통합 관리) 파트 JAVA 개발,"월 금액7,000,000","7,000,000",90일,개발,웹,['Java · 경력 무관'],서울특별시 강남구
OAM(운영 관리) 파트 JAVA 개발,"월 금액7,000,000","7,000,000",90일,개발,웹,['Java · 경력 무관'],서울특별시 강남구
BLE 연동 유축기 제어 갤럭시워치 및 애플워치 앱 개발,"예상 금액8,000,000원","8,000,000원",30일,,,"['watchos', 'wearos']",충청남도 천안시 동남구
자바스크립트 웹 페이지(1page) 작성,"예상 금액150,000원","150,000원",1일,,,[],대전광역시 유성구
음원 플레이어 앱 MVP 개발,"예상 금액15,000,000원","15,000,000원",60일,,,[],서울특별시 강남구
신한은행 The Next 차세대 시스템 구축,"월 금액8,200,000","8,200,000",180일,개발,웹,"['C# · 경력 무관', 'Linux · 경력 무관', 'ProFrame · 경력 무관']",서울특별시 중구
워드프레스 기반 구축된 홈페이지 개선 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['WordPress'],서울특별시 영등포구
파자마 브랜드 상세페이지 및 웹 디자인,"월 금액4,000,000","4,000,000",30일,디자인,웹,"['Photoshop · 경력 무관', 'Illustrator · 경력 무관']",서울특별시 동대문구
LGU+ IPTV 관련 개발 및 유지 보수,"월 금액7,620,000","7,620,000",365일,개발,웹,"['C# · 경력 무관', 'socket · 경력 무관']",경기도 안양시 동안구
교육포털사이트 운영/유지보수,"월 금액5,000,000","5,000,000",270일,개발,웹,"['PHP · 경력 무관', 'MySQL · 경력 무관', 'CSS · 경력 무관', 'jQuery · 경력 무관', 'HTML · 경력 무관']",서울특별시 종로구
언리얼엔진5 데디케이트 서버 개발,"예상 금액20,000,000원","20,000,000원",25일,,,[],서울특별시 성동구
산업은행 인프라 서버관리 운영자,"월 금액5,830,000","5,830,000",300일,개발,기타,['Linux · 경력 무관'],경기도 하남시
반응형 본사 소개 홈페이지 디자인 및 개발,"예상 금액7,000,000원","7,000,000원",21일,,,[],서울특별시 금천구
OO은행 자산관리 운영 Java 개발자,"월 금액6,400,000","6,400,000",365일,개발,웹,"['JavaScript · 경력 무관', 'Java · 경력 무관']",서울특별시 강서구
부동산 플랫폼 반응형 웹 디자인 리뉴얼,"예상 금액4,000,000원","4,000,000원",30일,,,[],서울특별시 성동구
"loT H/W, S/W 개발 및 구축 (주 20시간/재택근무)","월 금액3,000,000","3,000,000",60일,개발,레벨 미선택,"['Java · 경력 무관', 'C# · 경력 무관', 'Python · 경력 무관']",서울특별시 중구
B2B 식재료 상품 관리 웹 추가 기능 개발,"예상 금액7,000,000원","7,000,000원",30일,,,"['CentOS', 'PHP', 'PostgreSQL']",경기도 성남시 수정구
구축된 두가지 웹사이트 Android 앱 패키징,"예상 금액10,000,000원","10,000,000원",30일,,,['Android'],경기도 성남시 수정구
채용 플랫폼 Front 리디자인 및 리뉴얼 구축,"예상 금액50,000,000원","50,000,000원",50일,,,['AWS'],서울특별시 성동구
